char;	count;	type,std_chars
抅;	112;	2,拘,4,拘
盇;	111;	2,盍
垜;	111;	2,垛,4,垛
𣧩;	111;	2,終,4,終
𩔰;	111;	2,顯,4,顯
両;	110;	2,兩
栁;	110;	2,柳
孾;	109;	2,嬰,4,嬰
昰;	109;	2,夏;是
綳;	109;	2,繃
𠧸;	109;	2,鹵,4,鹵
癕;	108;	2,癰
𧦬;	108;	2,辯
芲;	108;	2,花;蒼
颷;	108;	2,飆
𦂶;	108;	2,綺
穪;	107;	2,稱
葊;	107;	2,菴,4,菴
彛;	106;	2,彝
辢;	106;	2,辣
㗛;	104;	2,笑
顋;	104;	2,腮
𤌢;	104;	2,煖,4,煖
拠;	104;	2,據
唘;	104;	2,啟
衂;	103;	2,衄
嶤;	103;	2,嶢
槗;	102;	2,橋
瀞;	102;	2,淨
擈;	102;	2,撲;樸
菷;	102;	4,帚
𦒱;	102;	2,考,4,考,4,考
𩭈;	101;	2,鬘
𣃆;	101;	2,斲,4,斲
将;	101;	2,將,2,將,2,將,4,將
𧑮;	100;	2,蠕;蝡,4,蠕
块;	99;	2,塊
𤏅;	99;	4,熟
毺;	99;	2,毹,2,毹
实;	99;	2,實
䬃;	98;	2,颯
㳙;	98;	2,涓
𨵻;	98;	2,閻,4,閻
𥝷;	97;	2,耕,4,耕
𢭀;	97;	2,旋;𢳄
𢆯;	97;	2,玄;糸
炁;	96;	2,氣
𣵠;	96;	2,涿
䉼;	95;	2,料
爕;	95;	2,燮
𡾟;	95;	2,巇
偹;	95;	2,備
𣆶;	94;	2,晚
㐬;	93;	2,不;荒;巟;旒;𠫓
稾;	93;	2,稿
𥥛;	93;	2,突;胈,4,突
𨶳;	92;	2,闚,4,闚
氊;	92;	2,氈
㭟;	92;	2,恭;拲
灔;	92;	2,灩
𡖖;	92;	4,卿
飃;	92;	2,飄
厰;	92;	2,廠
橜;	92;	2,橛
𠑽;	92;	2,充;克,4,充
𩚅;	92;	2,飼;C18468
絍;	91;	2,紝
㟧;	91;	2,崿
𧨏;	91;	2,誼,4,誼
実;	91;	2,實
𣑽;	91;	2,梵,4,梵
珎;	91;	2,珍
愱;	90;	2,嫉;𧪠,4,嫉
笇;	90;	2,算;𥳪,4,算
𦒳;	90;	2,老,4,老
䦨;	89;	2,闌
竸;	89;	2,競
䥘;	89;	2,錯
吕;	89;	2,呂
𢡖;	88;	2,慘,4,慘
鮎;	88;	2,鯰
縦;	87;	2,縱
擥;	87;	2,攬
䨇;	87;	2,雙
𢡠;	87;	2,𢙺,4,幟
𡧯;	86;	2,寂,4,寂
𣯛;	86;	2,氂,4,氂
㯹;	85;	2,標;檦,4,標
术;	85;	2,朮;術;秫
鞲;	84;	2,韝
窰;	84;	2,窯,2,窯,4,窯
軃;	84;	2,躲;嚲
𦝩;	84;	2,胃,4,胃
遟;	84;	2,遲
𤠔;	84;	2,猿
㬥;	83;	2,暴
㯓;	82;	2,榻;䈳
𢪔;	82;	2,抵,4,抵
𦚾;	82;	4,胸
𠜂;	82;	2,刪
㡿;	82;	2,斥
𣽘;	81;	2,溗
嚻;	81;	2,囂
𡃤;	81;	2,𡂖,4,
酔;	80;	2,醉
㹠;	80;	2,豚,4,豚
𨳰;	80;	2,閉,4,閉
𦍑;	80;	2,羌
肹;	80;	2,肸
𡬾;	80;	2,樹
𥱼;	80;	2,𣝁;篺,4,篺
隠;	79;	2,隱
𤑔;	79;	2,爇,4,爇
园;	79;	2,園;圓;團;刓,4,刓
𠂕;	79;	2,矢
𧷤;	78;	2,賾
𩠐;	78;	2,首
矒;	78;	2,瞢,4,瞢
㷔;	78;	2,焰,4,焰
𢲻;	77;	2,撮
𢜤;	77;	2,愛
𤼣;	77;	2,癵
𠫤;	77;	2,吝,4,吝
𨄔;	77;	2,腨,4,腨
对;	77;	2,對
蹏;	77;	2,蹄
𧆛;	77;	2,虔,4,虔
櫩;	77;	2,檐
𢁈;	76;	2,匙
𠆴;	76;	2,鬧
蝅;	76;	2,蠶
𨚎;	76;	2,邸,4,邸
蠎;	75;	2,蟒
晣;	74;	2,晢
飇;	74;	2,飆
爀;	74;	2,赫
貟;	74;	2,員
囦;	74;	2,淵,4,淵
𠌵;	73;	2,褭
皡;	73;	2,皞
䯗;	73;	2,髀
韲;	72;	2,齏,4,齏
対;	72;	2,對
㕛;	71;	2,友;爻,4,爻
逰;	71;	2,遊
𤵜;	71;	2,疹;疢,4,疹
牎;	71;	2,囪;窗
斖;	71;	2,B00016;	B01492
𣯫;	71;	2,氀
𦍞;	71;	2,羝
点;	71;	2,點
䛕;	70;	2,諛
㺃;	70;	2,狗,4,狗
蟁;	70;	2,蚊,4,蚊
𦏁;	70;	2,羲,4,羲
曽;	69;	2,曾
贜;	69;	2,贓
𡧘;	69;	2,寂,4,寂
𡶤;	68;	2,崩;用,4,崩
畞;	68;	2,畝
𣎆;	68;	2,𦝠
𦆵;	67;	2,纔
𤉢;	67;	2,象,4,象
厺;	67;	2,去
𦊨;	67;	2,罝,4,罝
覼;	67;	2,覶
瀬;	67;	2,瀨
