type,char,frequency
zzs,[虫*(网-(ㄨ*ㄨ)+又)],12
zzs,[嚐-旨+甘],12
zzs,[涅-土+(出/大/((犀-尸)-牛+十))],12
zzs,[咒-几+阿],12
zzs,[(石*戈)/聿],12
zzs,[撼-咸+(句-口+夕)],12
zzs,[名*鳥],12
zzs,[├/中],12
no_gaiji,ㄠ,12
zzs,[夕/肉],12
zzs,[中-口+○],12
zzs,[塚-豖+(一/豖)],12
zzs,[吭-几+(坐-工+十)],12
zzs,[口*伽],12
zzs,[螷-卑+林],11
zzs,[日/出/大/((犀-尸)-牛+十)],11
zzs,[睊-月+虫],11
zzs,[木*急],11
no_gaiji,ず,11
zzs,[((素-糸)*刀)/石],11
zzs,[卄/滔],11
zzs,[(冰-水+〡)*夫],11
zzs,[火*(日/出/大/((犀-尸)-牛+十))],11
zzs,[乃*乃],11
zzs,[○@乙],11
zzs,[序-予+(朝/諱)],11
zzs,[口*體],11
zzs,[齕-乙+(有-月+目)],11
zzs,[再-土+＝],11
zzs,[((並-(前-刖))-一)/(冗-几+豕)],11
zzs,[○@(─/?)],11
zzs,[甐-瓦+皮],11
zzs,[輪/金],11
zzs,[飢-几+方],11
zzs,[└@丙],11
zzs,[耳*巳],11
zzs,[葟-王+儿],11
no_gaiji,お,11
zzs,[丁*也],11
zzs,[玉-王+土],11
zzs,[井/(冗-几+(豆-一))],11
zzs,[亦/火],11
zzs,[水-?+(曲-曰+口)],11
zzs,[(┐@三)*(田/?)],11
zzs,[(司-(一/口)+井)*寸],11
zzs,[洺-口+王],11
zzs,[仁-二+(ㄠ*刀)],11
zzs,[車*犬],11
zzs,[腦-囟+山],11
zzs,[(乏-之+虫)*善],11
zzs,[篾-戍+伐],11
zzs,[日*(田/恭)],11
zzs,[骨*忽],11
zzs,[巳/目],11
zzs,[木*遲],11
zzs,[(上/天)*頁],11
